"Cursus","","Discipline","","Type de discipline","","Sous-type","","UE","","Année par défaut dans le cursus"
"Accompagnement - 1er Cycle","","00009 - Mise en situation professionnelle - 1er cycle","","Discipline principale","","",""," - Aspects pratiques des métiers","","1ère année"
"Accompagnement au piano - 2ème Cycle","","00010 - Cours ou séminaire dans une autre institution","","Discipline complémentaire imposée","","Aspects pratiques des métiers",""," - Enseignements complémentaires","","1ère année"
"Accompagnement chorégraphique - 1er Cycle","","00015 - Travail d'étude personnel","","Discipline complémentaire imposée fléchée","","Disciplines principales",""," - Enseignements complémentaires communs","","1ère année"
"Accompagnement vocal - 2ème Cycle","","00017 - Piano complémentaire FSMSI","","Discipline complémentaire optionnelle fléchée","","Enseignements complémentaires",""," - Enseignements de spécialisation","","1ère année"
"Accordéon - 1er Cycle","","00020 - Orchestre","","Discipline complémentaire optionnelle","","Enseignements complémentaires communs","","00000363-UE1 - Pratique artistique","","1ère année"
"Accordéon - 2ème Cycle","","00027 - Perception auditive","","A définir","","Enseignements de spécialisation","","00000363-UE2 - Recherche et culture","","1ère année"
"Alto - 1er Cycle","","00028 - Initiation à la pédagogie","","","","Enseignements musicaux","","00000363-UE3 - Professionnalisation","","2ème année"
"Alto - 2ème Cycle","","00029 - Méthodologie de recherche","","","","Enseignements pratiques","","00000364-UE1 - Pratique artistique","","2ème année"
"Alto baroque - 2ème Cycle","","00031 - Histoire et esthétique en musiques actuelles","","","","Enseignements scientifiques","","00000364-UE2 - Recherche et culture","","2ème année"
"Artist diploma – Interprétation Création (RIM) - 3ème Cycle","","00038 - Prise de son classique","","","","Enseignements techniques","","00000364-UE3 - Professionnalisation","","2ème année"
"Artist diploma – Interprétation Création - 3ème Cycle","","00056 - Réalisation en informatique musicale : développement, création, répertoire","","","","fléchée","","00008363-UE1 - Pratique artistique","","2ème année"
"Artiste intervenant en milieu scolaire (AIMS) - 3ème Cycle","","00063 - Histoire et analyse du Jazz","","","","Tronc commun","","00008363-UE2 - Recherche et culture","","2ème année"
"Basse continue organistes - 2ème Cycle","","00065 - Projet symphonique","","","","","","00008363-UE3 - Professionnalisation","","3ème année"
"Basson allemand - 1er Cycle","","00066 - Arrangement Jazz","","","","","","00008364-UE1 - Pratique artistique","","3ème année"
